Date,TOTAL COVID-19 TESTS,LAST 24 Hours Test,Covid-19 Positive Cases,Last 24Hours Cases,Recovered,Death Cases,Recovery Rate,Death Rate,New Recoveries,Deaths in last 24 hours
25/3/2020,794,82,39,0,7,5,17.94871795,12.82051282,0,0
26/3/2020,920,126,44,5,11,5,25,11.36363636,4,0
27/3/2020,1026,106,48,4,11,5,22.91666667,10.41666667,0,0
28/3/2020,1076,50,48,0,15,5,31.25,10.41666667,4,0
29/3/2020,1185,109,48,0,15,5,31.25,10.41666667,0,0
30/3/2020,1338,153,49,1,19,5,38.7755102,10.20408163,4,0
31/3/2020,1602,140,51,2,25,5,49.01960784,9.803921569,6,0
1/4/2020,1602,140,54,3,25,6,46.2962963,11.11111111,0,1
2/4/2020,1896,142,56,2,25,6,44.64285714,10.71428571,0,0
3/4/2020,2086,180,61,5,26,6,42.62295082,9.836065574,1,0
4/4/2020,2086,180,70,9,30,8,42.85714286,11.42857143,4,2
5/4/2020,1987,103,88,18,30,9,34.09090909,10.22727273,0,1
6/4/2020,0,0,123,35,33,12,26.82926829,9.756097561,3,3
7/4/2020,4289,679,164,41,33,17,20.12195122,10.36585366,0,5
8/4/2020,4289,679,218,54,33,20,15.13761468,9.174311927,0,3
9/4/2020,4289,679,330,112,33,21,10,6.363636364,0,1
10/4/2020,7359,1184,424,94,33,27,7.783018868,6.367924528,0,6
11/4/2020,8313,954,482,58,36,30,7.468879668,6.22406639,3,3
12/04/2020,9653,1340,621,139,39,34,6.280193236714976,5.475040257648954,3,4
13/04/2020,11223,1570,803,182,42,39,5.230386052303861,4.85678704856787,3,5
14/04/2020,13128,1905,1012,209,42,46,4.150197628458498,4.545454545454546,0,7
15/04/2020,14868,1740,1231,219,49,50,3.9805036555645814,4.061738424045491,7,4
16/04/2020,17003,2135,1572,341,49,60,3.11704834605598,3.816793893129771,0,10
17/04/2020,19193,2190,1838,266,58,75,3.1556039173014145,4.080522306855277,9,15
18/04/2020,21307,2114,2144,306,66,84,3.078358208955224,3.9179104477611943,8,9
19/04/2020,23941,2634,2456,312,75,91,3.053745928338762,3.705211726384365,9,7
